symbol,name,price,marketCap,volume,industry
LQDT,Liquidity Services Inc. Common Stock,31.55,978487946.0,193706,Real Estate
GOODO,Gladstone Commercial Corporation 6.00% Series G Cumulative Redeemable Preferred Stock par value $0.001 per share,19.6501,951202253.0,5894,Real Estate
EEX,Emerald Holding Inc. Common Stock,4.54,898505852.0,19002,Real Estate
ESRT,Empire State Realty Trust Inc. Class A Common Stock,5.11,875035858.0,1761427,Real Estate
WSR,Whitestone REIT Common Shares,16.7,858241958.0,206583,Real Estate
LANDO,Gladstone Land Corporation 6.00% Series B Cumulative Redeemable Preferred Stock,20.47,853687451.0,9028,Real Estate
LANDP,Gladstone Land Corporation 6.00% Series C Cumulative Redeemable Preferred Stock,19.96,832418247.0,26468,Real Estate
BFS,Saul Centers Inc. Common Stock,33.68,825017702.0,50040,Real Estate
PDM,Piedmont Realty Trust Inc. Class A Common Stock,6.58,822625040.0,901603,Real Estate
ACVA,ACV Auctions Inc. Class A Common Stock,4.63,805951415.0,2250169,Real Estate
PKST,Peakstone Realty Trust Common Shares,20.93,778183574.0,361976,Real Estate
MITP,TPG Mortgage Investment Trust Inc. 9.500% Senior Notes due 2029,25.25,744697846.0,2876,Real Estate
MITN,TPG Mortgage Investment Trust Inc. 9.500% Senior Notes due 2029,25.25,744697846.0,4974,Real Estate
BRSP,BrightSpire Capital Inc. Class A Common Stock,5.6,729557164.0,920324,Real Estate
NUTX,Nutex Health Inc. Common Stock,102.9,717043215.0,180432,Real Estate
RWT,Redwood Trust Inc. Common Stock,5.69,711221157.0,931427,Real Estate
UDMY,Udemy Inc. Common Stock,4.82,700931678.0,1754576,Real Estate
IVR,INVESCO MORTGAGE CAPITAL INC Common Stock,8.03,698180604.0,1814482,Real Estate
QNST,QuinStreet Inc. Common Stock,12.19,694756116.0,516485,Real Estate
FBRT,Franklin BSP Realty Trust Inc. Common Stock,8.35,676064372.0,597235,Real Estate
NXRT,NexPoint Residential Trust Inc. Common Stock,24.55,623846237.0,145762,Real Estate
CTO,CTO Realty Growth Inc. Common Stock,19.1,621888131.0,268569,Real Estate
MAX,MediaAlpha Inc. Class A Common Stock,9.55,606022544.0,494153,Real Estate
