symbol,name,price,marketCap,volume,industry
GECCH,Great Elm Capital Corp. 8.125% Notes Due 2029,25.215,0.0,1037,Uncategorized
TDAC,Translational Development Acquisition Corp. Ordinary Shares,10.71,0.0,404,Uncategorized
GCGR,General Catalyst Global Resilience Merger Corp. Class A Ordinary Shares,10.15,0.0,930,Uncategorized
GCGRW,General Catalyst Global Resilience Merger Corp. Warrants,0.75,0.0,108,Uncategorized
TDACW,Translational Development Acquisition Corp. Warrants,1.78,0.0,277,Uncategorized
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,16.0,,11333,Uncategorized
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,15.95,,2209,Uncategorized
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,22.5,,25100,Uncategorized
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,19.76,,2676,Uncategorized
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,24.9501,,11689,Uncategorized
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,21.7844,,1320,Uncategorized
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,17.1,,23923,Uncategorized
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,21.25,,6499,Uncategorized
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,21.05,,5304,Uncategorized
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,19.2,,34876,Uncategorized
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,17.79,,14502,Uncategorized
AGM^H,Federal Agricultural Mortgage Corporation 6.500% Non-Cumulative Preferred Stock Series H,23.89,,6368,Uncategorized
AGM^I,Federal Agricultural Mortgage Corporation 6.875% Non-Cumulative Preferred Stock Series I,23.95,,17081,Uncategorized
AHRT^A,AH Realty Trust Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,22.28,,6280,Uncategorized
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,5.2,,12002,Uncategorized
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,6.37,,7296,Uncategorized
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,5.195,,4087,Uncategorized
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,5.06,,9317,Uncategorized
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,4.9872,,10316,Uncategorized
ALB^A,Albemarle Corporation Depositary Shares each representing a 1/20th of 7.25% Series A Mandatory Convertible Preferred Stock,51.42,,446166,Uncategorized
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,25.69,,25969,Uncategorized
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,19.95,,136293,Uncategorized
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,18.6,,26525,Uncategorized
ALL^J,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series J,26.06,,31388,Uncategorized
ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),25.51,,5745,Uncategorized
AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,23.0,,1256,Uncategorized
AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,23.64,,1289,Uncategorized
ANG^D,American National Group Inc. Depositary Shares each representing a 1/1000th interest in a share of 7.375% Fixed-Rate Non-Cumulative Preferred Stock Series D,23.82,,12012,Uncategorized
APO^A,Apollo Global Management Inc. 6.75% Series A Mandatory Convertible Preferred Stock,61.2,,169066,Uncategorized
ARES^B,Ares Management Corporation 6.75% Series B Mandatory Convertible Preferred Stock,40.77,,518109,Uncategorized
